y0__root_mean_square,z0__variance,y__mean,z__minimum,beta__length,beta__root_mean_square,label
0.0431390265276825,0.0012390243902439,-6.937804878048782,-7.13,41.0,0.7708769159289927,reading
0.0395390102725565,0.0005356666666666,-6.904166666666667,-7.12,60.0,0.7555560866011205,reading
0.0444222166638871,0.0006733333333333,-6.900333333333333,-7.14,60.0,0.5377390941091538,reading
0.0428952211790544,0.0008148888888888,-6.897833333333333,-7.18,60.0,0.5261416159172357,reading
0.0431470354331171,0.0007183055555555,-6.894166666666667,-7.14,60.0,0.5207190541293196,reading
0.0465474668125631,0.00063475,-6.897333333333333,-7.12,60.0,0.5174118282374303,reading
0.0435889894354067,0.000419,-6.8741666666666665,-7.16,60.0,0.4710573213527202,reading
0.0418130761046509,0.0003694166666666,-6.882333333333334,-7.13,60.0,0.4958309523752358,reading
0.044365902823377,0.0007120833333333,-6.882666666666666,-7.16,60.0,0.4822723988231824,reading
0.0442153819388682,0.00045275,-6.8815,-7.15,60.0,0.3773018243616994,reading
0.0424460441816038,0.00040275,-6.869166666666667,-7.16,60.0,0.4043636976782164,reading
0.0450924975282289,0.0003420833333333,-6.8565,-7.17,60.0,0.3581200915893996,reading
0.0416933248054569,0.0006522222222222,-6.831833333333333,-7.19,60.0,0.4353561760214273,reading
0.0471168759575589,0.0005165555555555,-6.840666666666667,-7.19,60.0,0.3486354351850463,reading
0.0477667946032248,0.0005528888888888,-6.851333333333332,-7.16,60.0,0.4093327904448083,reading
0.0448144321991625,0.00028475,-6.857333333333334,-7.15,60.0,0.3478792894094156,reading
0.047258156262526,0.0002903055555555,-6.857666666666668,-7.15,60.0,0.3391484434088805,reading
0.0481490740651711,0.000469,-6.847499999999999,-7.17,60.0,0.3518972387880681,reading
0.0493963561409138,0.0004020833333333,-6.8355,-7.19,60.0,0.4003019693514718,reading
0.0963414068127856,0.0074143055555555,-6.8445,-7.35,60.0,2.151047031873858,reading
0.0655997967476526,0.0042628888888888,-6.820333333333333,-7.32,60.0,1.6485756478447289,reading
0.0707460246232959,0.0034969722222222,-6.797499999999999,-7.34,60.0,0.982945403705957,reading
0.0493288286231624,0.0005028888888888,-6.778999999999999,-7.25,60.0,0.4521835910335535,reading
0.0510392006206993,0.00042275,-6.7603333333333335,-7.27,60.0,0.3935712557254827,reading
0.0522174938757756,0.000345,-6.741833333333335,-7.27,60.0,0.4628714724413247,reading
0.0536034824739338,0.0007169722222222,-6.71,-7.37,60.0,0.5549954954772156,reading
0.0573003781255702,0.0009845555555555,-6.621833333333334,-7.41,60.0,0.5281745292356811,reading
0.0515751878329105,0.0004276388888888,-6.592,-7.41,60.0,0.4192473414743775,reading
0.052472214869713,0.0005559999999999,-6.586499999999999,-7.43,60.0,0.4680972121258574,reading
0.0512672735117963,0.0004147499999999,-6.583333333333334,-7.43,60.0,0.4134368150032118,reading
0.0530879772955547,0.0010760833333333,-6.548666666666668,-7.51,60.0,0.4656930319427165,reading
0.0503322295684716,0.0005503055555555,-6.518,-7.49,60.0,0.322446377971077,reading
0.0499165971062397,0.0008780833333333,-6.530000000000001,-7.49,60.0,0.4072407150568322,reading
0.051526692111953,0.0003178888888888,-6.537000000000001,-7.47,60.0,0.3452269784745489,reading
0.0483390801181266,0.0003860833333333,-6.524833333333334,-7.48,60.0,0.4119789638642568,reading
0.0571984848284171,0.0014509999999999,-6.522333333333334,-7.56,60.0,0.5624899999111095,reading
0.0498831969037002,0.0005895555555555,-6.539166666666666,-7.46,60.0,0.3879926975257824,reading
0.05,0.0006536388888888,-6.5295,-7.47,60.0,0.3949240433298535,reading
0.050083264004389,0.0002803055555555,-6.514499999999999,-7.47,60.0,0.467685791958661,reading
0.04611579628139,0.0004760833333333,-6.494666666666666,-7.53,60.0,0.3450676262222619,reading
0.047187568984497,0.0004062222222222,-6.509833333333332,-7.48,60.0,0.4791259402982337,reading
0.0471345591542624,0.0005589999999999,-6.510000000000001,-7.5,60.0,0.4190465367951393,reading
0.0457347424467074,0.000419,-6.496166666666668,-7.51,60.0,0.3772951983085216,reading
0.0486141268905791,0.0004383055555555,-6.4976666666666665,-7.5,60.0,0.33677391031175,reading
0.0509247811319138,0.0004916388888888,-6.498333333333333,-7.5,60.0,0.3930988001338425,reading
0.0504051382906712,0.0005937374317724,-6.4894915254237295,-7.5,59.0,0.4227011606163871,reading
0.0484683435643188,0.00062241332975,-6.484262295081968,-7.51,61.0,0.4218246858278573,reading
0.0500166638898144,0.0002169722222222,-6.494,-7.5,60.0,0.3722745402701255,reading
0.0498163293174704,0.0003656666666666,-6.497833333333333,-7.49,60.0,0.3514541221838207,reading
0.052946513892166,0.0004365555555555,-6.483166666666667,-7.52,60.0,0.42904933671238,reading
0.0523450093132096,0.0006943333333333,-6.486500000000001,-7.52,60.0,0.4147489200307417,reading
0.0518169856321264,0.000466,-6.495166666666665,-7.5,60.0,0.3678337486782129,reading
0.0683130051063973,0.0030165555555555,-6.494333333333333,-7.59,60.0,0.5781680839801981,reading
0.0538671204601347,0.0008665555555555,-6.501000000000001,-7.53,60.0,0.4857880196134936,reading
0.0564653285949292,0.0006920833333333,-6.508666666666667,-7.49,60.0,0.4366844780082449,reading
0.0567009700093393,0.0012503055555555,-6.514833333333333,-7.52,60.0,0.5028038053422694,reading
0.1472113665471452,0.0218050560183855,-6.520508474576272,-8.06,59.0,1.84579136489254,reading
0.0720185161376341,0.0053947499999999,-6.524833333333333,-7.66,60.0,0.8822575209842834,reading
0.1876572786685561,0.1189671933352485,-6.564067796610169,-8.56,59.0,2.660900191760013,reading
0.1227010821287064,0.0254888888888888,-6.553333333333334,-7.72,9.0,1.178105824335545,reading
